,book_no,title,view,category,book_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,11,Seduce Me at Sunrise (The Hathaways #2),"(933,789 view)",romance,book_1_11,0.021045751633986927,0.011111111111111113,0.009281045751633988,0.011895424836601307,0.02261437908496732,0.026535947712418302,0.011372549019607842,0.0069281045751634,0.09032679738562092,0.02392156862745098,0.014248366013071896,0.027320261437908496,0.010326797385620916,0.04065359477124183,0.017124183006535947,0.015294117647058824,0.015294117647058824,0.009542483660130718,0.019215686274509803,0.5959477124183007
12,12,Tempt Me at Twilight (The Hathaways #3),"(1,150,829 view)",romance,book_1_12,0.01460674157303371,0.009363295880149813,0.1441947565543071,0.07328339575530587,0.029837702871410736,0.031835205992509365,0.020099875156054933,0.06254681647940075,0.01260923845193508,0.013607990012484394,0.012109862671660424,0.08776529338327091,0.013607990012484394,0.04406991260923845,0.013358302122347064,0.02259675405742821,0.12397003745318352,0.017852684144818973,0.02184769038701623,0.23083645443196005
13,13,Mine Till Midnight (The Hathaways #1),"(1,300,427 view)",romance,book_1_13,0.1286919831223629,0.03333333333333334,0.0319268635724332,0.013924050632911394,0.020675105485232072,0.05021097046413503,0.03839662447257385,0.0389592123769339,0.014205344585091418,0.031364275668073135,0.010267229254571028,0.4068917018284107,0.013642756680731366,0.020112517580872014,0.022644163150492263,0.019549929676511958,0.029113924050632917,0.037552742616033766,0.014767932489451482,0.02376933895921238
14,14,Castles (Crown's Spies #4),"(298,722 view)",romance,book_1_14,0.03366583541147132,0.03283458021612635,0.03200332502078138,0.02701579384871156,0.028401219174286507,0.02701579384871156,0.03754502632308119,0.0170407315045719,0.034497090606816286,0.05001385425325575,0.0200886672208368,0.0458575782765309,0.0200886672208368,0.061097256857855366,0.016486561374341922,0.01898032696037684,0.025076198392906618,0.0599889165973954,0.019257412025491825,0.39304516486561375
15,15,The Gift (Crown's Spies #3),"(309,306 view)",romance,book_1_15,0.010659643842488084,0.014171055931778274,0.051542513167795324,0.043767243541509904,0.028216704288939045,0.12753950338600448,0.01392024078254326,0.03624278906445949,0.020441434662653617,0.013167795334838221,0.05530474040632053,0.010659643842488084,0.017431652871833455,0.0382493102583396,0.008903937797842989,0.02069224981188864,0.04878354652621017,0.033483822422874336,0.015174316528718331,0.3916478555304739
16,16,Guardian Angel (Crown's Spies #2),"(343,341 view)",romance,book_1_16,0.03680727874276261,0.018610421836228287,0.08229942100909843,0.0329473393989523,0.10463192721257238,0.010890543148607663,0.02798456024262476,0.08974358974358974,0.16032533774469254,0.1126275158533223,0.037910118555279836,0.030741659773917837,0.026881720430107527,0.0188861317893576,0.045078577336641855,0.03598014888337469,0.01695616211745244,0.04590570719602978,0.045354287289771165,0.019437551695616208
17,17,The Lion's Lady (Crown's Spies #1),"(460,147 view)",romance,book_1_17,0.028275078147200913,0.0123614663256607,0.1126740551292981,0.05726058539357772,0.015487354362034668,0.014350667803353225,0.01605569764137539,0.05612389883489628,0.2880079568059108,0.015487354362034668,0.1294401818698494,0.017192384200056834,0.021739130434782608,0.020318272236430804,0.06805910770105142,0.014919011082693947,0.014919011082693947,0.046462063086104,0.03395851094060813,0.016908212560386472
18,18,Summer in Eclipse Bay (Eclipse Bay #3),"(74,994 view)",romance,book_1_18,0.014786103933390755,0.009905254091300605,0.021102497846683898,0.029141544645420618,0.3699397071490095,0.013637668676428369,0.012776342233706576,0.011340798162503591,0.13422337065747922,0.1755670399081252,0.0104794717197818,0.011627906976744188,0.011340798162503591,0.013063451047947174,0.020815389032443298,0.023686477174849268,0.021102497846683898,0.042061441286247496,0.036032156187194964,0.017370083261556132
19,19,Dawn in Eclipse Bay (Eclipse Bay #2),"(79,582 view)",romance,book_1_19,0.09382422802850356,0.0872261810504091,0.024412773818949598,0.012272367379255742,0.03734494589601479,0.1397466349960412,0.03048297703879652,0.09831089997360784,0.028899445764053844,0.02626022697281605,0.013855898653998418,0.015967273686988654,0.030219055159672745,0.012272367379255742,0.02230139878595936,0.057403008709422026,0.047637899181842185,0.10200580628134072,0.08511480601741886,0.03444180522565321
20,20,Eclipse Bay (Eclipse Bay #1),"(100,602 view)",romance,book_1_20,0.012360446570972886,0.023258904837852205,0.015018607123870282,0.023258904837852205,0.04585326953748006,0.03920786815523657,0.10007974481658692,0.0272461456671983,0.007309941520467836,0.10273790536948432,0.015550239234449759,0.013423710792131843,0.024587985114300902,0.17158426368952684,0.02006911217437533,0.01209463051568315,0.16414141414141414,0.10220627325890484,0.07057416267942583,0.009436469962785752
