,book_no,title,view,category,book_id,0,1,2,3,4,5,6,7
21,21,Gift of Fire (Gift #2),"(42,103 view)",romance,book_1_21,0.06028214077952297,0.23363874345549734,0.04457533449680046,0.1106020942408377,0.1772105875509017,0.1469604421175102,0.09780395578824898,0.12892670157068062
22,22,Gift of Gold (Gift #1),"(57,177 view)",romance,book_1_22,0.13378267973856212,0.1340550108932462,0.04881535947712419,0.24189814814814814,0.2560593681917212,0.05861928104575164,0.07904411764705882,0.047726034858387806
23,23,Thief (Breeding #3),"(389,655 view)",romance,book_1_23,0.1787059456550982,0.15314769975786924,0.089924670433145,0.10579768630616088,0.09315308044121604,0.2117971482378262,0.050914716168953454,0.11655905299973095
24,24,Mechanic (Breeding #2),"(403,490 view)",romance,book_1_24,0.08203463203463203,0.08059163059163059,0.04307359307359308,0.18852813852813846,0.030663780663780664,0.3261904761904762,0.034992784992784985,0.21392496392496396
25,25,Coach (Breeding #1),"(398,222 view)",romance,book_1_25,0.09291862284820032,0.05927230046948358,0.08378977569118415,0.3396583202921231,0.12108763693270735,0.031885758998435064,0.1690792905581638,0.10230829420970268
26,26,Shield's Lady (Lost Colony #3),"(48,530 view)",romance,book_1_26,0.05896431679721498,0.12365825355381492,0.04474905715114593,0.06563678561067596,0.0633159268929504,0.2515955903684364,0.2843777197563099,0.10770234986945172
27,27,Sweet Starfire (Lost Colony #1),"(72,312 view)",romance,book_1_27,0.1337772397094431,0.1978073715361851,0.06544256120527307,0.13915792305622815,0.08804143126177025,0.10714285714285714,0.07001614205004035,0.19861447403820284
28,28,Until You (Westmoreland Saga #3),"(778,228 view)",romance,book_1_28,0.05577200577200577,0.07193362193362192,0.09213564213564214,0.29473304473304474,0.16370851370851372,0.08001443001443001,0.18073593073593072,0.060966810966810975
29,29,"Whitney, My Love (Westmoreland Saga #2)","(1,394,931 view)",romance,book_1_29,0.31060010482180295,0.03701519916142559,0.25321016771488475,0.05745545073375264,0.10252882599580714,0.047235324947589113,0.07553721174004194,0.11641771488469604
30,30,Rumpelstiltskin (Timeless Fairy Tales #4),"(76,885 view)",romance,book_1_30,0.1681105610561056,0.04297304730473047,0.030596809680968094,0.02894664466446645,0.07212596259625963,0.054524202420242016,0.3488036303630363,0.2539191419141914
31,31,Cinderella and the Colonel (Timeless Fairy Tales #3),"(126,066 view)",romance,book_1_31,0.2208654670094259,0.05491288203370465,0.12889174521565264,0.06262496429591545,0.12317909168808913,0.13660382747786345,0.14460154241645246,0.12832047986289633
32,32,The Wild Swans (Timeless Fairy Tales #2),"(79,563 view)",romance,book_1_32,0.29401408450704225,0.02719092331768388,0.2632368283776734,0.07048774126238913,0.11352373500260825,0.042057902973395934,0.05275169535732916,0.13673708920187794
