url,title,view,category,book_id
/the-temptation-of-lila-and-ethan-the-secret-3.html,The Temptation of Lila and Ethan (The Secret #3),"(14,671 view)",romance,book_1_197
/the-ever-after-of-ella-and-micha-the-secret-4.html,The Ever After of Ella and Micha (The Secret #4),"(11,378 view)",romance,book_1_198
/lila-and-ethan-forever-and-always-the-secret-0.html,Lila and Ethan: Forever and Always (The Secret #0),"(15,206 view)",romance,book_1_199
/the-coincidence-of-callie-kayden-the-coincidence-1.html,The Coincidence of Callie & Kayden (The Coincidence #1),"(34,098 view)",romance,book_1_200
/the-redemption-of-callie-kayden-the-coincidence-2.html,The Redemption of Callie & Kayden (The Coincidence #2),"(29,188 view)",romance,book_1_201
/shattered-promises-shattered-promises-1.html,Shattered Promises (Shattered Promises #1),"(26,355 view)",romance,book_1_202
/fractured-souls-shattered-promises-2.html,Fractured Souls (Shattered Promises #2),"(14,066 view)",romance,book_1_203
/breaking-nova-nova-1.html,Breaking Nova (Nova #1),"(24,762 view)",romance,book_1_204
/orchard-valley-grooms-orchard-valley-0.html,Orchard Valley Grooms (Orchard Valley #0),"(20,915 view)",romance,book_1_205
/born-in-a-small-town-patton-s-daughters-4.html,Born in a Small Town (Patton's Daughters #4),"(12,648 view)",romance,book_1_206
/marriage-of-inconvenience-those-manning-men-1.html,Marriage of Inconvenience (Those Manning Men #1),"(69,179 view)",romance,book_1_207
/the-manning-grooms-those-manning-men-0.html,The Manning Grooms (Those Manning Men #0),"(34,593 view)",romance,book_1_208
/a-touch-of-crimson-renegade-angels-1.html,A Touch of Crimson (Renegade Angels #1),"(21,204 view)",romance,book_1_209
/afterburn-afterburn-aftershock-1.html,Afterburn (Afterburn & Aftershock #1),"(19,175 view)",romance,book_1_210
/breathe-sea-breeze-1.html,Breathe (Sea Breeze #1),"(17,171 view)",romance,book_1_211
/because-of-low-sea-breeze-2.html,Because of Low (Sea Breeze #2),"(21,976 view)",romance,book_1_212
/while-it-lasts-sea-breeze-3.html,While It Lasts (Sea Breeze #3),"(17,152 view)",romance,book_1_213
/just-for-now-sea-breeze-4.html,Just for Now (Sea Breeze #4),"(21,431 view)",romance,book_1_214
/sometimes-it-lasts-sea-breeze-5.html,Sometimes It Lasts (Sea Breeze #5),"(18,442 view)",romance,book_1_215
/misbehaving-sea-breeze-6.html,Misbehaving (Sea Breeze #6),"(25,957 view)",romance,book_1_216
/twisted-perfection-perfection-1.html,Twisted Perfection (Perfection #1),"(66,456 view)",romance,book_1_217
/simple-perfection-perfection-2.html,Simple Perfection (Perfection #2),"(43,763 view)",romance,book_1_218
/fallen-too-far-too-far-1.html,Fallen Too Far (Too Far #1),"(52,290 view)",romance,book_1_219
/never-too-far-too-far-2.html,Never Too Far (Too Far #2),"(64,706 view)",romance,book_1_220
/forever-too-far-too-far-3.html,Forever Too Far (Too Far #3),"(49,239 view)",romance,book_1_221
/the-vincent-boys-the-vincent-boys-1.html,The Vincent Boys (The Vincent Boys #1),"(22,570 view)",romance,book_1_222
/the-vincent-brothers-the-vincent-boys-2.html,The Vincent Brothers (The Vincent Boys #2),"(21,981 view)",romance,book_1_223
/the-mighty-storm-the-storm-1.html,The Mighty Storm (The Storm #1),"(35,906 view)",romance,book_1_224
/wethering-the-storm-the-storm-2.html,Wethering the Storm (The Storm #2),"(17,086 view)",romance,book_1_225
/trouble.html,Trouble,"(101,629 view)",romance,book_1_226
/wait-for-you-wait-for-you-1.html,Wait for You (Wait for You #1),"(75,895 view)",romance,book_1_227
/trust-in-me-wait-for-you-0.html,Trust in Me (Wait for You #0),"(46,830 view)",romance,book_1_228
/tempting-the-best-man-gamble-brothers-1.html,Tempting the Best Man (Gamble Brothers #1),"(43,895 view)",romance,book_1_229
/tempting-the-player-gamble-brothers-2.html,Tempting the Player (Gamble Brothers #2),"(37,525 view)",romance,book_1_230
/frigid-frigid-1.html,Frigid (Frigid #1),"(92,532 view)",romance,book_1_231
/the-billionaire-wins-the-game-billionaire-bachelors-1.html,The Billionaire Wins the Game (Billionaire Bachelors #1),"(136,355 view)",romance,book_1_232
/the-billionaire-s-dance-billionaire-bachelors-2.html,The Billionaire's Dance (Billionaire Bachelors #2),"(83,968 view)",romance,book_1_233
/the-billionaire-falls-billionaire-bachelors-3.html,The Billionaire Falls (Billionaire Bachelors #3),"(78,710 view)",romance,book_1_234
/the-billionaire-s-marriage-proposal-billionaire-bachelors-4.html,The Billionaire's Marriage Proposal (Billionaire Bachelors #4),"(65,078 view)",romance,book_1_235
/blackmailing-the-billionaire-billionaire-bachelors-5.html,Blackmailing the Billionaire (Billionaire Bachelors #5),"(68,141 view)",romance,book_1_236
/runaway-heiress-billionaire-bachelors-6.html,Runaway Heiress (Billionaire Bachelors #6),"(70,731 view)",romance,book_1_237
/the-billionaire-s-final-stand-billionaire-bachelors-7.html,The Billionaire's Final Stand (Billionaire Bachelors #7),"(96,322 view)",romance,book_1_238
/unexpected-treasure-billionaire-bachelors-8.html,Unexpected Treasure (Billionaire Bachelors #8),"(60,986 view)",romance,book_1_239
/the-tycoon-s-revenge-baby-for-the-billionaire-1.html,The Tycoon's Revenge (Baby for the Billionaire #1),"(149,582 view)",romance,book_1_240
/the-tycoon-s-vacation-baby-for-the-billionaire-2.html,The Tycoon's Vacation (Baby for the Billionaire #2),"(95,998 view)",romance,book_1_241
/2979-the-tycoon-s-proposal-baby-for-the-billionaire-3.html,The Tycoon's Proposal (Baby for the Billionaire #3),"(53,413 view)",romance,book_1_242
/the-tycoon-s-secret-baby-for-the-billionaire-4.html,The Tycoon's Secret (Baby for the Billionaire #4),"(161,176 view)",romance,book_1_243
/the-tycoon-s-proposal-baby-for-the-billionaire-3.html,The Tycoon's Proposal (Baby for the Billionaire #3),"(84,551 view)",romance,book_1_244
/countdown-to-a-kiss-a-new-year-s-eve-anthology.html,Countdown To A Kiss A New Year's Eve Anthology,"(19,505 view)",romance,book_1_245
/rule-marked-men-1.html,Rule (Marked Men #1),"(57,176 view)",romance,book_1_246
/jet-marked-men-2.html,Jet (Marked Men #2),"(23,248 view)",romance,book_1_247
/on-every-street-the-artists-trilogy-0.html,On Every Street (The Artists Trilogy #0),"(8,576 view)",romance,book_1_248
/sins-needles-the-artists-trilogy-1.html,Sins & Needles (The Artists Trilogy #1),"(12,332 view)",romance,book_1_249
/shooting-scars-the-artists-trilogy-2.html,Shooting Scars (The Artists Trilogy #2),"(7,942 view)",romance,book_1_250
/bold-tricks-the-artists-trilogy-3.html,Bold Tricks (The Artists Trilogy #3),"(6,428 view)",romance,book_1_251
/the-fault-in-our-stars.html,The Fault in Our Stars,"(11,806 view)",romance,book_2_0
